"Lobbyist","Lobbyist Type","Client","Report Type","Filing Date"
"Edgar and Associates","Contract","BLT Enterprises Inc.","1st Quarter 2010","04/01/10"
"Edgar and Associates","Contract","SAFCA","1st Quarter 2010","04/01/10"
"Hefner, Stark & Marois, LLP","Contract","Lily Company","1st Quarter 2010","05/28/10"
"Hefner, Stark & Marois, LLP","Contract","Lennar Communities","1st Quarter 2010","05/28/10"
"Holloway Land Company","Contract","Drake Developments of California, Inc.","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","21st & I, LLC","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Trammell Crow Residential","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Recycling Industries","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Foothill Partners","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Paul & Milka Lausevic","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","James Marcus","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Investors Choice","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Pacific Housing","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Sisler and Sisler","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","PC & F","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Brothers Development","1st Quarter 2010","03/31/10"
"James Anthony","Contract","El Camino Wellness Center","1st Quarter 2010","04/07/10"
"Law Offices of George Phillips","Contract","Ose Properties","1st Quarter 2010","04/13/10"
"Law Offices of Gregory D. Thatch","Contract","500 Capitol Mall, LLC","1st Quarter 2010","04/09/10"
